GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
checker-core,com.luchersol.core.specialized_checkers.io,CheckerJson,227,389,17,21,22,44,33,29,16,27
checker-core,com.luchersol.core.specialized_checkers.io,CheckerURI,25,425,8,8,4,28,11,42,3,42
checker-core,com.luchersol.core.specialized_checkers.io,CheckerFile,71,302,17,17,15,34,16,35,3,31
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerCallable,3,73,0,2,2,20,0,11,0,10
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerFunction,9,114,1,3,4,24,1,14,0,13
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerConsumer,12,219,0,2,8,46,0,23,0,22
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerSupplier,0,76,0,2,0,22,0,11,0,10
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerBiFunction,12,159,2,4,4,30,2,15,0,14
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerBiPredicate,16,184,3,5,6,29,3,17,0,16
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerBiConsumer,31,391,10,10,14,65,10,28,0,28
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerRunnable,0,32,0,0,0,11,0,6,0,6
checker-core,com.luchersol.core.specialized_checkers.lambda,CheckerPredicate,13,144,2,2,6,27,2,15,0,15
checker-core,com.luchersol.core.specialized_checkers.time.temporal,CheckerDate,12,189,5,7,2,11,7,18,2,17
checker-core,com.luchersol.core.specialized_checkers.time.temporal,CheckerLocalDate,10,233,0,16,2,13,2,29,2,21
checker-core,com.luchersol.core.specialized_checkers.time.temporal,CheckerLocalDateTime,12,187,5,7,2,11,7,18,2,17
checker-core,com.luchersol.core.specialized_checkers.time.temporal,CheckerLocalTime,12,187,3,9,2,11,5,20,2,17
checker-core,com.luchersol.core.specialized_checkers.time,CheckerDuration,10,237,0,24,2,16,2,40,2,28
checker-core,com.luchersol.core.specialized_checkers.time,CheckerPeriod,14,262,2,30,4,23,4,43,2,29
checker-core,com.luchersol.core.specialized_checkers.math,CheckerArray,14,332,6,14,4,46,8,27,2,23
checker-core,com.luchersol.core.specialized_checkers.math,CheckerMatrix,170,528,17,57,33,97,20,58,9,32
checker-core,com.luchersol.core.specialized_checkers.math,CheckerPolygon,38,0,0,0,9,0,6,0,6,0
checker-core,com.luchersol.core.specialized_checkers.math.numbers.integerTypes,CheckerInteger,621,319,46,30,25,21,68,40,44,26
checker-core,com.luchersol.core.specialized_checkers.math.numbers.integerTypes,CheckerLong,627,362,46,30,23,23,66,42,42,28
checker-core,com.luchersol.core.specialized_checkers.collection,CheckerList,6,136,0,4,1,14,1,19,1,17
checker-core,com.luchersol.core.specialized_checkers.collection,CheckerMap,50,54,0,0,3,7,7,9,7,9
checker-core,com.luchersol.core.specialized_checkers.collection,CheckerSet,4,118,0,2,1,13,1,16,1,15
checker-core,com.luchersol.core.specialized_checkers.collection,CheckerTree,9,406,12,12,0,34,12,34,0,34
checker-core,com.luchersol.core.specialized_checkers.collection,CheckerGraph,148,313,3,21,23,21,24,49,21,40
checker-core,com.luchersol.core.specialized_checkers,CheckerCurrency,36,71,0,2,3,6,4,9,4,8
checker-core,com.luchersol.core.specialized_checkers,CheckerColor,10,416,1,19,2,41,3,40,2,31
checker-core,com.luchersol.core.specialized_checkers,CheckerString,13,280,0,8,2,24,2,38,2,34
checker-core,com.luchersol.core.specialized_checkers.math.numbers.bigTypes,CheckerBigInteger,616,360,41,23,20,19,61,43,40,32
checker-core,com.luchersol.core.specialized_checkers.math.numbers.bigTypes,CheckerBigDecimal,406,428,30,28,10,24,45,46,25,37
checker-core,com.luchersol.core.specialized_checkers.math.numbers.decimalTypes,CheckerDouble,510,383,41,17,20,18,61,36,36,32
checker-core,com.luchersol.core.specialized_checkers.math.numbers.decimalTypes,CheckerFloat,494,401,41,17,18,20,59,38,34,34
